Category,Link,Title,Description,Sub_category,Author,Published Date
sports,https://www.theguardian.com/football/2025/mar/19/football-daily-email-linfield-world-record,"Celtic, Al-Ahly, Real Madrid … move over for the true kings","Which football club is the best in the world? Come on, let’s get this straightened out, once and for all. A good place to start would be the current club world champions, Real Madrid – who can also point to 15 European Cups, 36 league titles and a world-beating 400 million subscribers across various Social Media Abominations. Yet those humble trophy-lifters from the Bernabéu can be beaten on sheer hardware count by Egypt’s Al-Ahly (125 pots in total, to Madrid’s 103), Celtic (118 domestic trophies to 71) – and Linfield, the south Belfast galacticos with a world-record 57 league...",sports,Niall McVeigh,2025-03-19T15:22:42+00:00
sports,https://www.theguardian.com/sport/2025/mar/19/tennis-grand-slams-legal-challenge-ptpa-novak-djokovic,Legal battle in tennis is no surprise after years of increasing tension | Tumaini Carayol,"The 163-page PTPA lawsuit contains some valid and not-so-valid criticism of the professional tours and major eventsThe Professional Tennis Players’ Association came into existence on the eve of the 2020 US Open and at the height of pandemic restrictions. After an inauspicious start, the association co-founded by Novak Djokovic has spent time building its professional structures, finances and player support while trying to gain influence in the sport. The PTPA ostensibly functions as a players’ union, but it is not legally recognised as such, since players are classed as independent...",sports,Tumaini Carayol,2025-03-19T15:08:04+00:00
politics,https://www.theguardian.com/business/grogonomics/2025/mar/20/expect-a-lot-of-talk-from-chalmers-about-the-deficit-but-remember-the-golden-rule-budgets-are-always-about-choices,"Expect a lot of talk about Australia’s deficit, but remember the golden rule: budgets are always about choices | Greg Jericho","The world trade system, and our ability to trust our biggest defence ally, is all gone to hell. What will Labor prioritise in the 2025 federal budget in such an uncertain global environment?Ahead of next week’s federal budget, it is time to remind you of my budget commandment: “Everything is affordable if the government chooses to care about it.” There has never been a true priority of a government, or an emergency, or urgent expense which has not been paid for because the government could not afford it, because it had to “live within its means”.I point this out because we are going...",politics,Greg Jericho,2025-03-19T14:00:05+00:00
politics,https://www.theguardian.com/australia-news/2025/mar/20/dutton-under-pressure-to-give-mps-anything-to-sell-to-voters-as-cost-of-living-budget-looms,Dutton under pressure to give MPs ‘anything to sell’ to voters as cost-of-living budget looms,"Some inside the Coalition are concerned about a perceived lack of economic policies – a suggestion that makes shadow treasurer Angus Taylor bristleGet our breaking news email, free app or daily news podcastSee all our Australian election 2025 coveragePeter Dutton will face internal pressure to match any cost-of-living relief offered in next week’s federal budget as Coalition MPs hope to neutralise a potentially potent Labor attack during the campaign.Treasurer Jim Chalmers’ budget on 25 March is widely tipped to include some support for households, including another round of $300 energy...",politics,Dan Jervis-Bardy and Krishani Dhanji,2025-03-19T14:00:04+00:00
politics,https://www.theguardian.com/australia-news/2025/mar/19/bob-carr-aukus-submarine-deal-us-australia-relationship,Bob Carr says Aukus a ‘colossal surrender of sovereignty’ if submarines do not arrive under Australian control,"Former foreign minister says it is ‘inevitable’ US won’t supply nuclear-powered submarines under AukusGet our breaking news email, free app or daily news podcastAustralia faces a “colossal surrender of sovereignty” if promised US nuclear-powered submarines do not arrive under Australian control, former foreign affairs minister Bob Carr has said, arguing the US is “utterly not a reliable ally” to Australia.“It’s inevitable we’re not getting them,” Carr told the Guardian, ahead of the release of a report from Australians for War Powers Reform that argues the multibillion-...",politics,Ben Doherty,2025-03-19T14:00:03+00:00
politics,https://www.theguardian.com/australia-news/2025/mar/20/the-perth-tradie-do-i-keep-grinding-through-12-hour-days,The Perth tradie: ‘Do I keep grinding through 12-hour days?’,"Brent Daylight works two jobs as he tries to establish his own business. He worries about climate change and rejects Peter Dutton’s stance on the Aboriginal and Torres Strait Islander flagsIn the lead-up to the federal election, ordinary people around the nation tell us about their life. Read more in the Anywhere but Canberra seriesBrent Daylight knows hard work. For years, the former roof plumber put in long days under the scorching Western Australian sun but, when he couldn’t find reliable workers, he took a punt on something new.At 39, he remortgaged his family home and bought a business...",politics,Narelle Towie,2025-03-19T14:00:02+00:00
politics,https://www.theguardian.com/australia-news/2025/mar/20/australians-have-lost-hope-in-the-fair-go-with-profound-implications-for-the-election,Australians have lost hope in the fair go. This has profound implications for the election | Rebecca Huntley,"The character of our country is changing radically – and how politicians respond may either strengthen or weaken democracy Gina: the billionaire who wants to make Australia greatSee all our Australian election 2025 coverageGet our breaking news email, free app or daily news podcastThe Australian electorate is fundamentally changing.In more than two decades of social research I have seen economic ups and downs, trends come and go, and public opinion about leaders and issues rise and fall. Continue reading...",politics,Rebecca Huntley,2025-03-19T14:00:01+00:00
entertainment,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOYXJoUmQwSEJNeElsdFBVMy1oOV9FVmpVcE5OLXZ4YUJZYk95WmFyS0pObDNrNEZwRFZYaWY4OXVucUlIRzNIUVJmVGYwTFhRYndsQzZTZ2RVSjZ1YTFyUWtXZDlSUWZXbVF2akJDLTNyYWVCZ1pnOGg2VTFjRHphU0V4WXZ2S0Z6dGhrc0VYWENmM1V2NHRXeWZOdG5oWnY0d0R0c1ppWWltSUNxMEprSzNBQ3BVYVVHejF4THR2cThBd1htVHJoZXljSlpUZFVRMlhENUY3dXRiZEh6d0ItZnJrak9tX2RJZmfSAXdBVV95cUxPNFY4MWtRTm5KeGd6eUdXa1FQTUNHMEZHcjFVeVYxSlBSbkIyX1FkT19GN2w5M0ducWpZQUpkY3pEUVJxckt2VDlVeXdPd0NqbGY1b1Qza1gzVWlpcWU1LU1jT1lDT2k4Tmd0OTRmNWtraXRWMjgzTQ?oc=5,Watch: Jamie finally meets Dave's father after missing their wedding due to cancer diagnosis - as he gives a heartwarming update - Nine Shows,Watch: Jamie finally meets Dave's father after missing their wedding due to cancer diagnosis - as he gives a heartwarming update&nbsp;&nbsp;Nine ShowsExclusive: MAFS' Jamie reveals the one question she never asked Dave as their relationship crumbled&nbsp;&nbsp;Nine ShowsDave’s dad gives Jamie the tick of approval&nbsp;&nbsp;Nine Shows,entertainment,,2025-03-19T13:42:54+00:00
business,https://www.ibtimes.com.au/turkey-detains-istanbul-mayor-erdogans-main-rival-1857039,"Turkey Detains Istanbul Mayor, Erdogan's Main Rival","Turkish police detained Istanbul's powerful Mayor Ekrem Imamoglu Wednesday in connection with two investigations into graft and ""supporting terror,"" a move that the main opposition party slammed as a politically-motivated ""coup"".",business,,2025-03-19T13:27:12+00:00
general,https://www.brisbanetimes.com.au/politics/federal/bowen-fired-up-for-election-clash-as-labor-delivers-gas-supply-boost-20250319-p5lknc.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal,Bowen fired up for election clash as Labor delivers gas supply boost,Energy Minister Chris Bowen is lashing out at the former Coalition government’s “bin fire” gas policy as he clashes with Peter Dutton on energy.,general,"Mike Foley, Nick Toscano",2025-03-19T13:01:00+00:00
